"x"
"1" 1.39318091412826e-34
"2" 2.33234229406827e-26
"3" 2.17114270251493e-24
"4" 3.27020178059769e-27
"5" 2.36047502591923e-27
"6" 2.02249397889916e-26
"7" 5.68788672926225e-41
"8" 1.56137789111739e-20
"9" 7.32637187898804e-25
"10" 1.22139685445531e-24
"11" 4.90207721077667e-25
"12" 8.49324218073671e-27
"13" 1.47640262222126e-36
"14" 3.46846977293807e-27
"15" 2.96793267230191e-33
"16" 1.24344968176564e-25
"17" 4.42383485241562e-24
"18" 2.87024661956372e-25
"19" 2.04888138451327e-24
"20" 1.00769014440482e-27
"21" 4.32534309305402e-25
"22" 1.26010180562983e-24
"23" 5.26621963061316e-17
"24" 4.24567612753452e-24
"25" 6.27572179975989e-26
"26" 1.35407502240347e-25
"27" 1.33150997286494e-26
"28" 3.30383300932133e-24
"29" 2.44723437208646e-78
"30" 1.43023058435153e-28
