Dimensoes Fitness
3 0
3 0
3 2.2186712959341e-30
3 0
3 14.8939450534722
3 0.191997118582238
3 0
3 0
3 5.54667823983524e-31
3 0
3 0
3 0
3 0.599909220150385
3 0
3 1.05295816263413
3 0
3 0
3 0
3 2.88353459302808e-05
3 0
3 0
3 9.83593953061457e-15
3 0
3 0
3 0
3 0
3 1.51767084714027
3 2.12323324285472
3 0
3 0
10 9.59108101179752
10 8.88671756888828
10 7.60080888008046
10 65.4067747127529
10 7.75071682401778
10 9.56145822364213
10 0.0444215427800883
10 5.430041247829
10 6.37515499259472
10 2.15074909941255
10 4.81084805818525
10 3.7779785235013
10 4.89374033171433
10 8.99512949227487
10 8.94951164840111
10 7.31282677047622
10 5.6627192470885
10 19.9705113097583
10 7.74726845631998
10 9.45558556025273
10 7.26534965272486
10 8.68459131968195
10 1.82855464462965
10 9.00960487105429
10 5.52792729664331
10 9.57852810593269
10 6.12560472251184
10 5.04187652742476
10 6.27659397717703
10 4.44366710813854
20 16.8035410296336
20 205.53521637233
20 49.6135735044373
20 96.2298454707586
20 15.9650346634716
20 446.336157613527
20 18.3832415436182
20 72.4551936293165
20 364.160633107435
20 114.830106214806
20 918.480270292878
20 95.8066654984128
20 86.123918009984
20 28.4509377878863
20 19.0275342396884
20 102.368142133778
20 92.443868640734
20 18.2451015197829
20 212.01215700701
20 196.776988230993
20 537.95145001657
20 34.2111693215878
20 167.663106443291
20 19.4476698129941
20 78.6052499595421
20 15.4053754616199
20 150.191793142198
20 488.616157332917
20 81.0800283280094
20 72.595824024256
30 120.777150151368
30 253.182927847305
30 184.33024116575
30 319.587869260914
30 97.8466024597211
30 93.2022369664597
30 2388.15490145955
30 259.419063909574
30 113.987159386909
30 559.071732469936
30 142.628753942991
30 1326.08135009982
30 8699.22372426311
30 209.271310485093
30 2026.56569928219
30 309.698038348791
30 86.782747873251
30 608.122054990603
30 315.905673386626
30 3251.69664115111
30 895.888986810747
30 657.089707391665
30 51.0570018285909
30 937.390469192728
30 260.816424564984
30 176.922719615966
30 1074.39920812322
30 77.9149844921849
30 13677.8023260248
30 436.817847750845
