dimensao,gbests
tres,0
tres,0
tres,0
tres,1.98991811418658
tres,0.99495905709329
tres,0.99495905709329
tres,1.05075250659662
tres,0.995507233871685
tres,0
tres,0
tres,0.99495905709329
tres,0.99495905709329
tres,0.99495905709329
tres,0
tres,1.98991811418658
tres,0.99495905709329
tres,0.99495905709329
tres,0.99495905709329
tres,0.99495905709329
tres,1.32687565088005
tres,0.99495905709329
tres,0
tres,0
tres,0.99495905709329
tres,0.99495905709329
tres,1.98991811418658
tres,1.98991811418658
tres,0.99495905709329
tres,0
tres,0
tres,1.42918119969355
tres,0
tres,0.99495905709329
tres,0.99495905709329
tres,0.99495905709329
tres,0.99495905709329
tres,1.98991811418658
tres,0
tres,0.99495905709329
tres,0
tres,7.52588794156999
tres,0.99495905709329
tres,7.105427357601e-15
tres,1.98991811418658
tres,0.99495905709329
tres,0
tres,0
tres,0.99495905709329
tres,1.98991811418658
tres,0.99495905709329
tres,0.99495905709329
tres,0.994959057093293
tres,0
tres,0
tres,0.99495905709329
tres,0
tres,0
tres,0
tres,0.99495905709329
tres,0
tres,0.99495905709329
tres,3.5527136788005e-15
tres,0.99495905709329
tres,0
tres,0
tres,0
tres,0.99495905709329
tres,0
tres,0.99495905709329
tres,0
tres,0.99495905709329
tres,0
tres,0.99495905709329
tres,0.99495905709329
tres,0.99495905709329
tres,1.98991811418658
tres,0
tres,1.98991811418658
tres,0.99495905709329
tres,0
tres,0
tres,0.99495905709329
tres,0
tres,0
tres,0
tres,1.98991811418659
tres,0.99495905709329
tres,2.98487717127987
tres,0.99495905709329
tres,0.99495905709329
tres,1.98991811418658
tres,0
tres,1.98991811418658
tres,0
tres,0.99496458654535
tres,0.99495905709329
tres,0.99495905709329
tres,1.98991811418658
tres,1.98991811418658
tres,1.98991811418658
tres,0
tres,0.99495905709329
tres,0.99495905709329
tres,0.994959096374998
tres,0.99495905709329
tres,1.98991811418658
tres,0
tres,0.99495905709329
tres,0.99495905709329
tres,0
tres,0
tres,0.99495905709329
tres,0
tres,0.99495905709329
tres,0.99495905709329
tres,1.98991811418658
tres,0.99495905709329
tres,0.99495905709329
tres,2.98487717127987
tres,1.98991811418658
tres,0
tres,1.98991811418658
tres,0
tres,0
tres,6.21801111127456
tres,0.99495905709329
tres,1.98991811418658
tres,0.99495905709329
tres,0
tres,1.98991811418658
tres,0
tres,0
tres,1.98991811418658
tres,0.99495905709329
tres,0.99495905709329
tres,4.97479024764738
tres,0
tres,0
tres,0
tres,0.99495905709329
tres,1.98991811418658
tres,0.99495905709329
tres,0.99495905709329
tres,0
tres,0.99495905709329
tres,1.98991812060974
tres,0
tres,0
tres,0
tres,0
tres,0.99495905709329
tres,0.99495905709329
tres,1.98991811418658
tres,0.99495905709329
tres,0
tres,1.98991811418658
tres,0.99495905709329
tres,0.99495905709329
tres,0.99495905709329
tres,0.99495905709329
tres,0.99495905709329
tres,0.99495905709329
tres,0
tres,3.97983119055409
tres,0
tres,0.99495905709329
tres,0
tres,0.99495905709329
tres,1.98991811418658
tres,4.97479024764738
tres,0
tres,2.98487717127987
tres,0
tres,0
tres,0
tres,0
tres,0.99495905709329
tres,0
tres,0.99495905709329
tres,0
tres,0.99495905709329
tres,0
tres,3.97983119055409
tres,1.98991811418658
tres,1.98991811418658
tres,1.98991811418658
tres,0.99495905709329
tres,0.99495905709329
tres,0.99495905709329
tres,0.99495905709329
tres,0.99495905709329
tres,0.99495905709329
tres,0
tres,0.99495905709329
tres,0.99495905709329
tres,0.99495905709329
tres,0.99495905709329
tres,1.72815499790661
tres,0
tres,2.79736330808226
tres,0.99495905709329
tres,1.98991811418658
tres,2.98487717127987
tres,1.98991811418658
tres,0.99495905709329
tres,0.99495905709329
tres,0.99495905709329
tres,0.99495905709329
tres,0.99495905709329
tres,1.98991811418658
tres,0.99495905709329
tres,0
tres,1.98991811418658
tres,0
tres,0
tres,0.99495905709329
tres,1.98991811418658
tres,3.97983119055409
tres,1.98991811418658
tres,0
tres,0.99495905709329
tres,0
tres,0
tres,0.99495905709329
tres,0
tres,0
tres,0
tres,1.00659728814729
tres,0
tres,0.99495905709329
tres,0
tres,1.98991811418658
tres,1.98991811418658
tres,3.75752998763611
tres,0
tres,0.99495905709329
tres,0
tres,0.99495905709329
tres,1.98991811418658
tres,0
tres,0.0196515743984378
tres,3.64996345908514
tres,0.99495905709329
tres,0.99495905709329
tres,0
