Dimensao,Gbest
tres,0
tres,0
tres,2.2186712959341e-30
tres,0
tres,14.8939450534722
tres,0.191997118582238
tres,0
tres,0
tres,5.54667823983524e-31
tres,0
tres,0
tres,0
tres,0.599909220150385
tres,0
tres,1.05295816263413
tres,0
tres,0
tres,0
tres,2.88353459302808e-05
tres,0
tres,0
tres,9.83593953061457e-15
tres,0
tres,0
tres,0
tres,0
tres,1.51767084714027
tres,2.12323324285472
tres,0
tres,0
dez,9.59108101179752
dez,8.88671756888828
dez,7.60080888008046
dez,65.4067747127529
dez,7.75071682401778
dez,9.56145822364213
dez,0.0444215427800883
dez,5.430041247829
dez,6.37515499259472
dez,2.15074909941255
dez,4.81084805818525
dez,3.7779785235013
dez,4.89374033171433
dez,8.99512949227487
dez,8.94951164840111
dez,7.31282677047622
dez,5.6627192470885
dez,19.9705113097583
dez,7.74726845631998
dez,9.45558556025273
dez,7.26534965272486
dez,8.68459131968195
dez,1.82855464462965
dez,9.00960487105429
dez,5.52792729664331
dez,9.57852810593269
dez,6.12560472251184
dez,5.04187652742476
dez,6.27659397717703
dez,4.44366710813854
vinte,16.8035410296336
vinte,205.53521637233
vinte,49.6135735044373
vinte,96.2298454707586
vinte,15.9650346634716
vinte,446.336157613527
vinte,18.3832415436182
vinte,72.4551936293165
vinte,364.160633107435
vinte,114.830106214806
vinte,918.480270292878
vinte,95.8066654984128
vinte,86.123918009984
vinte,28.4509377878863
vinte,19.0275342396884
vinte,102.368142133778
vinte,92.443868640734
vinte,18.2451015197829
vinte,212.01215700701
vinte,196.776988230993
vinte,537.95145001657
vinte,34.2111693215878
vinte,167.663106443291
vinte,19.4476698129941
vinte,78.6052499595421
vinte,15.4053754616199
vinte,150.191793142198
vinte,488.616157332917
vinte,81.0800283280094
vinte,72.595824024256
trinta,120.777150151368
trinta,253.182927847305
trinta,184.33024116575
trinta,319.587869260914
trinta,97.8466024597211
trinta,93.2022369664597
trinta,2388.15490145955
trinta,259.419063909574
trinta,113.987159386909
trinta,559.071732469936
trinta,142.628753942991
trinta,1326.08135009982
trinta,8699.22372426311
trinta,209.271310485093
trinta,2026.56569928219
trinta,309.698038348791
trinta,86.782747873251
trinta,608.122054990603
trinta,315.905673386626
trinta,3251.69664115111
trinta,895.888986810747
trinta,657.089707391665
trinta,51.0570018285909
trinta,937.390469192728
trinta,260.816424564984
trinta,176.922719615966
trinta,1074.39920812322
trinta,77.9149844921849
trinta,13677.8023260248
trinta,436.817847750845
