dimensao,gbests
vinte,0.0138762362512325
vinte,1.77080745861345
vinte,0.000639906151958973
vinte,0.000318024012308452
vinte,0.00365749433749751
vinte,0.14425568539734
vinte,6.56326660662793e-07
vinte,0.215329050239816
vinte,1.07588674515203e-05
vinte,6.26747495866344e-05
vinte,0.0790721509549732
vinte,0.000190797053512332
vinte,0.00366523176343158
vinte,0.0150512320259675
vinte,0.00560847946175083
vinte,8.42376549313605e-05
vinte,0.387013741325538
vinte,5.23862603385749e-05
vinte,0.000476662694821931
vinte,0.000754054630926575
vinte,2.20979128991089
vinte,3.98953627797037e-10
vinte,0.0139773199356772
vinte,0.357428842102566
vinte,8.55611939341857
vinte,7.85711578580144e-05
vinte,0.000240429260183783
vinte,4.85404062911702e-05
vinte,0.0375219385525486
vinte,0.000125639636995673
vinte,0.00042426967592144
vinte,0.00768768031953052
vinte,6.42125031842856e-05
vinte,0.0915919999034113
vinte,0.00183383909229919
vinte,1.90189499241933e-07
vinte,0.0106440255095474
vinte,0.000555678086623255
vinte,1.37683500170532e-05
vinte,6.02202714955358e-06
vinte,0.312995958994351
vinte,0.0147765531671277
vinte,2.10523327323684
vinte,1.82628991768901e-12
vinte,0.520591632453339
vinte,0.000124833488621155
vinte,0.000310407365115032
vinte,0.000490366970331159
vinte,1.37906788382517e-05
vinte,0.0307419072346022
vinte,0.30673141705252
vinte,0.00223758852804315
vinte,0.00340979222197705
vinte,0.000269937863286029
vinte,0.0752799729789422
vinte,0.0138325618911693
vinte,5.82564256650673e-22
vinte,6.37532159233621e-06
vinte,0.000974233370760047
vinte,2.6592407523964
vinte,0.00131242824408959
vinte,0.674402233217359
vinte,0.0341454709439387
vinte,8.27406403455342e-06
vinte,8.34759574185159e-05
vinte,0.175146636084254
vinte,0.213575624344929
vinte,8.62599106789871e-05
vinte,0.00139955527371494
vinte,0.292812896154307
vinte,0.159351947339245
vinte,0.0353827199734626
vinte,0.000863431800212513
vinte,5.77759804813822e-05
vinte,0.00149933783144433
vinte,0.0144243478858166
vinte,0.00281442492879472
vinte,18.08443749572
vinte,0.0296502640128232
vinte,0.285405599651691
vinte,3.1618903741979e-05
vinte,0.000105037496170192
vinte,4.6747731066503e-05
vinte,0.00816166023407017
vinte,0.00179965466716405
vinte,3.02039891628598e-05
vinte,0.0305012313103129
vinte,0.0234732894272796
vinte,0.000408807931927888
vinte,0.00104851911072318
vinte,0.0270733798714933
vinte,6.42051586186367e-06
vinte,3.19493602016291e-05
vinte,2.22223611676767e-06
vinte,0.00691118860558596
vinte,0.000139931889023034
vinte,7.97646399178822e-06
vinte,0.291538722557773
vinte,4.90312764048186e-06
vinte,0.0261184528255739
vinte,0.000662045082956789
vinte,0.000174524159245376
vinte,0.000250886640590693
vinte,0.00932307180331307
vinte,0.104253023289215
vinte,0.00014500260799628
