Dimensao,Gbest
tres,0
tres,0
tres,0
tres,1.98991811418658
tres,0.99495905709329
tres,0.99495905709329
tres,1.05075250659662
tres,0.995507233871685
tres,0
tres,0
tres,0.99495905709329
tres,0.99495905709329
tres,0.99495905709329
tres,0
tres,1.98991811418658
tres,0.99495905709329
tres,0.99495905709329
tres,0.99495905709329
tres,0.99495905709329
tres,1.32687565088005
tres,0.99495905709329
tres,0
tres,0
tres,0.99495905709329
tres,0.99495905709329
tres,1.98991811418658
tres,1.98991811418658
tres,0.99495905709329
tres,0
tres,0
dez,31.8384312963762
dez,19.8991474640528
dez,19.8991407938751
dez,9.94958553315504
dez,29.8487010924554
dez,10.9482982306824
dez,22.8840129273359
dez,7.95967245674635
dez,23.8789921811437
dez,23.8856593011129
dez,3.97983622837317
dez,15.9193146411401
dez,13.929416723668
dez,39.7982359736052
dez,11.939498609482
dez,13.9294167236679
dez,33.828512086295
dez,45.7678227855107
dez,13.9294167236679
dez,8.95462648456393
dez,28.8537622320765
dez,30.8436753084441
dez,15.9193298000355
dez,42.7830321751302
dez,16.9142888571288
dez,21.6659314493141
dez,26.86384411789
dez,13.0635254740977
dez,11.9395036473371
dez,39.7980936774844
vinte,67.662394323059
vinte,65.7738509451703
vinte,100.59465355387
vinte,68.1331561832337
vinte,58.7031082237675
vinte,44.808377645644
vinte,53.7319927021605
vinte,74.6217756315383
vinte,44.7872774353991
vinte,70.0575640225874
vinte,303.473900750644
vinte,109.885051146328
vinte,82.5845252839527
vinte,65.6670712370844
vinte,61.1831833055054
vinte,160.059855050012
vinte,54.7226472928734
vinte,88.5535662954028
vinte,99.4951274365963
vinte,78.580449988947
vinte,57.7290011062982
vinte,46.9884348291204
vinte,82.2820236949361
vinte,62.0239330693709
vinte,47.627752518452
vinte,55.7181848505765
vinte,26.9347558612054
vinte,121.268019578734
vinte,108.239510791689
vinte,44.7845369685364
trinta,90.1740944809779
trinta,89.384582998561
trinta,78.0413384411175
trinta,124.914818082973
trinta,142.292014383677
trinta,115.41683937224
trinta,109.192914750742
trinta,102.283536456007
trinta,207.471001557785
trinta,106.038844257556
trinta,130.363574259196
trinta,149.692936392829
trinta,393.223922236811
trinta,97.9214615519269
trinta,237.640925724888
trinta,102.782623981149
trinta,99.5067144805924
trinta,186.580692431118
trinta,103.106936447835
trinta,156.44754849488
trinta,130.43047535874
trinta,134.377791988969
trinta,70.0328424450289
trinta,103.969653704034
trinta,83.4811311470824
trinta,73.1448556706462
trinta,84.9013934675667
trinta,120.558939234975
trinta,268.211783960078
trinta,119.999277958964
